campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Teixeira de Freitas,Campus Teixeira de Freitas terá horário especial de funcionamento entre 13 e 24 de julho,https://www.ifbaiano.edu.br/unidades/teixeira/campus-teixeira-de-freitas-tera-horario-especial-de-funcionamento-entre-13-e-24-de-julho/,2026-07-14,12:25,1,"O Instituto Federal Baiano (IF Baiano) – Campus Teixeira de Freitas informa à comunidade acadêmica e ao público externo que adotará, em caráter excepcional, horário especial de funcionamento no períod...",
Teixeira de Freitas,IF Baiano abre edital para preenchimento de vagas remanescentes nos cursos de Engenharia Agronômica e Engenharia Florestal (resultado final),https://www.ifbaiano.edu.br/unidades/teixeira/if-baiano-abre-edital-para-preenchimento-de-vagas-remanescentes-nos-cursos-de-engenharia-agronomica-e-engenharia-florestal/,2026-07-09,21:44,1,"O Instituto Federal Baiano (IF Baiano) – Campus Teixeira de Freitas publicou o Edital nº 23/2026, que estabelece as normas para o preenchimento de vagas remanescentes nos cursos de Bacharelado em Enge...",https://www.ifbaiano.edu.br/unidades/teixeira/files/2026/07/4256-IF-BAIANO-CARDS.webp
Teixeira de Freitas,IF Baiano – Campus Teixeira de Freitas orienta comunidade sobre canais oficiais de comunicação e Defeso Eleitoral 2026,https://www.ifbaiano.edu.br/unidades/teixeira/if-baiano-campus-teixeira-de-freitas-orienta-comunidade-sobre-canais-oficiais-de-comunicacao-e-defeso-eleitoral-2026/,2026-07-04,00:32,1,"O Instituto Federal Baiano (IF Baiano) – Campus Teixeira de Freitas informa à comunidade acadêmica e à sociedade que, em razão do período de Defeso Eleitoral 2026, algumas adequações serão realizadas ...",https://www.ifbaiano.edu.br/unidades/teixeira/files/2026/07/5959-ChatGPT-Image-4-de-jul.-de-2026-00_32_27.webp
