campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Senhor do Bonfim,"EDITAL DE REOPÇÃO DE CURSO, TRANSFERÊNCIA INTERNA E EXTERNA, MATRÍCULA ESPECIAL,INGRESSO COMO PORTADOR DE DIPLOMA E REINTEGRAÇÃO PARA O SEMESTRE 2026.1 DE LCA/LCC",https://www.ifbaiano.edu.br/unidades/bonfim/2026/04/23/edital-de-reopcao-de-curso-transferencia-interna-e-externa-matricula-especialingresso-como-portador-de-diploma-e-reintegracao-para-o-semestre-2026-1-de-lca-lcc/,2026-04-23,18:29,1,"O DIRETOR-GERAL DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO – CAMPUSSENHOR DO BONFIM, no uso de suas atribuições legais conferidas pela Portaria de Pessoal n° 304 de 19/03/26, public...",
Senhor do Bonfim,Novos Editais dos Programas de Assistência Estudantil PAE e PROPAC  Publicados.,https://www.ifbaiano.edu.br/unidades/bonfim/2026/04/17/novos-editais-dos-programas-de-assistencia-estudantil-pae-e-propac-foram-publicados/,2026-04-17,19:41,1,,
Senhor do Bonfim,Seleção de Estágio Curricular para estudantes dos cursos Técnico Integrado e Subsequente,https://www.ifbaiano.edu.br/unidades/bonfim/2026/04/07/selecao-de-estagio-curricular-para-estudantes-dos-cursos-tecnico-integrado-e-subsequente/,2026-04-07,20:02,1,"Serão ofertadas 20 (vinte) vagas para alunos matriculados nos Cursos Técnico em Agroindústria,Agropecuária e Informática Integrado ao Ensino Médio e para os alunos matriculados nos CursosTécnico em Al...",
Senhor do Bonfim,IF Baiano &#8211; Campus Senhor do Bonfim abre inscrições para estágio remunerado de nível Superior: de 12 a 24 de abril,https://www.ifbaiano.edu.br/unidades/bonfim/2026/04/06/if-baiano-campus-senhor-do-bonfim-abre-inscricoes-para-estagio-remunerado-de-nivel-superior-de-11-a-24-de-abril/,2026-04-06,21:17,1,"A oportunidade de estágio é para estudantes a partir do 3º semestre dos cursos de Licenciatura em Química, Ciências da Computação, Ciências Agrárias, Matemática, Pedagogia e Bacharelado em Administraç...",
Senhor do Bonfim,Homologação de Inscrições para bolsistas do Projeto Supera,https://www.ifbaiano.edu.br/unidades/bonfim/2026/03/31/homologacao-de-inscricoes-para-bolsistas-do-projeto-supera/,2026-03-31,20:24,1,Clique no link a seguir para conferir: LISTA_DE_INSCRIÇÕES HOMOLOGADAS,
Senhor do Bonfim,Campus Senhor do Bonfim realiza formatura da 2ª turma do curso Salgadeiras do Programa Mulheres Mil,https://www.ifbaiano.edu.br/unidades/bonfim/2026/03/24/campus-senhor-do-bonfim-realiza-formatura-da-2a-turma-do-curso-salgadeiras-do-programa-mulheres-mil/,2026-03-24,21:57,1,"A Formatura das alunas da 2ª turma do curso FIC Salgadeiras do Programa Mulheres Mil aconteceu na noite de 23/03, no auditório do Campus Senhor do Bonfim.",https://www.ifbaiano.edu.br/unidades/bonfim/files/2026/03/2140-DSC_0554-editada.webp
Senhor do Bonfim,Pregão Eletrônico nº 1 90000/2026 – Contratação de empresa de fornecimento de gás liquefeito de petróleo (GLP),https://www.ifbaiano.edu.br/unidades/bonfim/2026/03/20/pregao-eletronico-no-1-90000-2026-contratacao-de-empresa-de-fornecimento-de-gas-liquefeito-de-petroleo-glp/,2026-03-20,09:34,1,,
Senhor do Bonfim,"Chamada: Dispensa Eletrônica para contratação de empresa para fornecer água mineral natural sem gás para o IF Baiano, campus Senhor do Bonfim.",https://www.ifbaiano.edu.br/unidades/bonfim/2026/02/25/chamada-dispensa-eletronica-para-contratacao-de-empresa-para-fornecer-agua-mineral-natural-sem-gas-para-o-if-baiano-campus-senhor-do-bonfim/,2026-02-25,13:24,1,,
Senhor do Bonfim,Publicado Processo Seletivo para Residência Estudantil 2026,https://www.ifbaiano.edu.br/unidades/bonfim/2026/02/24/publicado-processo-seletivo-para-residencia-estudantil-2026/,2026-02-24,08:58,1,"O DIRETOR GERAL DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO &#8211; IF BAIANO CAMPUS SENHOR DO BONFIM, no uso de suas atribuições delegadas pela Portaria nº 283, de 18/03/2022, publi...",
Senhor do Bonfim,Pregão Eletrônico nº 90005/2025 &#8211; aquisição de livros para o acervo da Biblioteca do Campus Senhor do Bonfim,https://www.ifbaiano.edu.br/unidades/bonfim/2026/02/23/pregao-eletronico-no-90005-2025-aquisicao-de-livros-para-o-acervo-da-biblioteca-do-campus-senhor-do-bonfim/,2026-02-23,19:37,1,"O objeto da presente licitação é aquisição de livros para o acervo da Biblioteca do Instituto Federal de Educação, Ciência e Tecnologia Baiano &#8211; Campus Senhor do Bonfim, conforme condições, quan...",
