campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Guanambi,II SIID abordou formação docente e temas da Educação Básica no IF Baiano – Campus Guanambi,https://www.ifbaiano.edu.br/unidades/guanambi/2026/07/22/ii-siid-abordou-formacao-docente-e-temas-da-educacao-basica-no-if-baiano-campus-guanambi/,2026-07-22,22:20,2,"O Instituto Federal Baiano (IF Baiano) – Campus Guanambi realizou, nos dias 21 e 22 de julho, o II Seminário Institucional de Iniciação à Docência (SIID). A atividade é vinculada ao Programa Instituci...",https://www.ifbaiano.edu.br/unidades/guanambi/files/2026/07/9621-WhatsApp-Image-2026-07-22-at-22.19.43-3.webp
Guanambi,Lanchonete do Campus Guanambi passa a funcionar em novo espaço,https://www.ifbaiano.edu.br/unidades/guanambi/2026/07/22/lanchonete-do-campus-guanambi-passa-a-funcionar-em-novo-espaco/,2026-07-22,11:40,1,"A lanchonete do IF Baiano – Campus Guanambi passou a funcionar em um novo espaço, localizado ao lado do refeitório. A mudança ocorreu na última segunda-feira, 20 de julho, e tem como objetivo oferecer...",https://www.ifbaiano.edu.br/unidades/guanambi/files/2026/07/1178-Untitled-design.webp
Guanambi,IF Baiano Campus Guanambi realizará seminários do Pibid nos dias 21 e 22 de julho,https://www.ifbaiano.edu.br/unidades/guanambi/2026/07/16/if-baiano-campus-guanambi-realizara-seminarios-do-pibid-nos-dias-21-e-22-de-julho/,2026-07-16,14:05,2,"O Instituto Federal Baiano (IF Baiano) – Campus Guanambi realizará, nos dias 21 e 22 de julho, os Seminários Institucionais de Iniciação à Docência (SIID). A programação será desenvolvida no período n...",https://www.ifbaiano.edu.br/unidades/guanambi/files/2026/07/7124-Captura-de-Tela-2026-07-14-as-16.25.11.webp
Guanambi,Palestra no Campus Guanambi vai abordar diversidade e inclusão na escola,https://www.ifbaiano.edu.br/unidades/guanambi/2026/07/15/palestra-no-campus-guanambi-vai-abordar-diversidade-e-inclusao-na-escola/,2026-07-15,09:55,1,"O Instituto Federal Baiano (IF Baiano) – Campus Guanambi realizará, na próxima quarta-feira, dia 22 de julho, a palestra “Construindo Espaços de Respeito: o papel da escola na promoção da diversidade”...",https://www.ifbaiano.edu.br/unidades/guanambi/files/2026/07/0102-Destaque-IF-Baiano-4.webp
Guanambi,IF Baiano abre seleção para alunos especiais de mestrado em Guanambi,https://www.ifbaiano.edu.br/unidades/guanambi/2026/07/14/if-baiano-abre-selecao-para-alunos-especiais-de-mestrado-em-guanambi/,2026-07-14,19:18,1,São oferecidas cinco vagas no Mestrado Profissional em Produção Vegetal no Semiárido; inscrições serão realizadas de 16 a 20 de julho.,https://www.ifbaiano.edu.br/unidades/guanambi/files/2026/07/6062-mestrado-producao-vegetal-guanambi.webp
Guanambi,Renovação de matrícula para cursos técnicos subsequentes e superiores será de 13 a 17 de julho,https://www.ifbaiano.edu.br/unidades/guanambi/2026/06/22/if-baiano-de-guanambi-tera-renovacao-de-matricula-para-cursos-tecnicos-subsequentes-e-superiores-em-julho/,2026-06-22,10:52,1,"O Instituto Federal Baiano (IF Baiano) – Campus Guanambi realizará, entre os dias 13 e 17 de julho de 2026, o período de renovação de matrícula para o semestre letivo 2026.2.",
